"zipcode","top_first","top_second","count_patients_1","count_patients_2"
"11553","I10","E11.69",2,12
"11554","I10","E78.5",3,17
"11556","Z11.3","E78.00",1,1
"11557","K71.6","Z68.20",1,1
"11559","custom","Z00.00",2,2
"11560","I10","R73.01",1,3
"11561","I10","E78.5",3,14
"11563","Z71.3","Z71.89",6,37
"11565","I10","E78.5",4,17
"11566","E03.9","E78.2",2,13
"11568","G47.30","Z00.01",1,1
"11570","Z71.3","E03.9",3,12
"11572","I10","E78.5",2,3
"11575","R42","Z00.00",2,3
"11576","Z71.3","Z00.00",2,11
"11577","I10","E11.9",3,9
"11579","custom","V70.9",1,1
"11580","I10","Z00.00",27,112
"11581","I10","Z00.00",11,58
"11590","K21.9","E78.5",3,17
"11596","G47.00","R51",1,20
"11598","Z68.23","J03.00",1,3
"11691","I10","Z00.00",17,70
"11692","Z71.3","I10",5,46
"11693","Z00.00","Z71.3",7,8
"11694","R73.01","Z00.00",3,15
"11697","I10","G47.00",2,20
"11701","Z71.3","Z71.89",5,26
"11702","J32.9",NA,1,0
"11703","I10","J30.89",1,7
"11704","E11.9","Z68.42",2,8
"11706","I10","Z00.00",3,16
"11710","I25.10","I10",2,11
"11713","I10","E03.9",2,14
"11714","E53.8","R73.01",1,5
"11715","F98.8","R07.89",1,1
"11717","Z71.3","Z71.89",8,23
"11720","E03.9","I10",1,13
"11721","J03.90",NA,1,0
"11722","I10","E78.5",3,20
"11725","I10","Z00.01",1,2
"11726","Z71.3","Z71.89",11,8
"11727","Z00.00","I82.409",6,5
"11729","E78.5","I10",4,17
"11730","J01.90",NA,1,0
"11731","custom","K21.9",1,13
"11733","I10","E11.9",1,12
"11735","Z71.89","I10",1,21
"11737","I25.110","R73.01",1,1
"11741","E11.9","Z00.01",2,3
"11743","J20.9","Z13.89",2,1
"11746","Z00.00","Z68.30",7,5
"11747","F90.9","I10",1,21
"11749","J00",NA,1,0
"11751","R50.9","Z13.89",1,1
"11752","R73.01","Z00.00",1,3
"11753","C61","I10",1,8
"11754","custom",NA,1,0
"11755","Z00.00","M25.512",2,1
"11756","I10","E11.69",5,34
"11757","I10","E11.9",1,5
"11758","F03.90","I10",1,27
"11762","I10","E78.5",5,20
"11763","I10","Z68.27",2,9
"11764","Z71.3","M06.4",1,2
"11767","custom","V67.9",1,1
"11768","Z00.00","Z71.3",2,3
"11769","Z68.1","E78.5",1,4
"11771","I25.10","I50.9",2,1
"11772","Z00.01","J30.9",2,2
"11776","custom",NA,1,0
"11777","T14.90",NA,1,0
"11779","Z00.00","E78.5",3,5
"11783","I10","E78.5",1,19
"11784","D51.0","Z68.30",1,6
"11787","I10","Z13.89",1,4
"11788","E66.3","Z68.21",1,2
"11789","J02.8",NA,1,0
"11791","Z13.89","E03.9",2,2
"11793","Z68.29","custom",1,4
"11795","Z68.30","custom",1,2
"11798","Z71.3","R73.01",1,9
"11801","I10","E03.9",7,30
"11802","Z68.21","Z00.00",1,2
"11803","I10","E03.9",2,6
"11901","Z71.89","Z71.3",2,8
"11930","R73.01","F41.9",1,1
"11933","M25.50",NA,1,0
"11934","custom","W57.XXXA",2,1
"11935","Z13.89","Z76.89",2,1
"11937","E78.0","Z00.8",3,2
"11946","I10","Z71.3",2,9
"11949","Z68.26","F71",1,1
"11950","Z00.00","Z68.30",2,3
"11952","T88.8XXA","custom",1,2
"11953","Z71.3","R21",1,1
"11954","Z71.3","Z71.89",3,10
"11959","custom","I10",1,2
"11960","N40.0","J44.9",1,33
"11964","E65",NA,1,0
"11968","Z68.24","S62.91XA",1,1
"11975","Z00.00",NA,1,0
"11980","C18.9","F03.90",1,3
"12015","Z01.89","F10.10",1,2
"12065","custom",NA,1,0
"12070","F90.0","F17.200",1,3
"12076","custom",NA,1,0
"12083","custom",NA,1,0
"12095","I10","E55.9",1,4
"12108","R51","N39.0",1,2
"12203","Z71.3","Z02.1",2,1
"12205","custom","R06.02",2,2
"12206","Z09","E11.9",1,2
"12208","Z68.38","E28.2",1,1
"12209","I10","J00",1,3
"12305","custom",NA,1,0
"12308","Z71.3",NA,1,0
"12345","I10","E11.9",5,13
"12401","T78.3XXA","custom",1,1
"12414","E11.9","B86",1,1
"12428","Z23","Z00.129",3,14
"12440","Z00.00","Z71.3",1,1
"12449","E03.9","D70.9",1,1
"12456","I10","K21.9",1,21
"12458","I10","Z68.23",1,1
"12461","Z71.89","Z12.31",1,2
"12474","E78.5","custom",2,9
"12477","I10","E78.5",2,8
"12484","I10","E03.9",1,29
"12498","Z68.25","J32.9",1,1
"12501","I10","N18.3",1,8
"12508","E78.5","M10.9",1,1
"12512","S92.901B","R55",1,1
"12518","custom","E78.5",4,3
"12520","R05","J31.0",1,1
"12522","I10","E03.9",1,17
"12524","custom","E78.5",4,7
"12525","Z23","F32.9",2,3
"12526","I10","E03.9",1,7
"12527","Z12.11","R07.9",1,1
